speaker,word,count
Chris Wallace,president,73
Chris Wallace,going,63
Chris Wallace,all,39
Chris Wallace,vice,37
Chris Wallace,go,34
Chris Wallace,not,32
Chris Wallace,do,31
Chris Wallace,donald,30
Chris Wallace,two,28
Chris Wallace,want,27
Chris Wallace,will,27
Chris Wallace,as,26
Chris Wallace,let,24
Chris Wallace,people,22
Chris Wallace,question,22
Chris Wallace,so,19
Chris Wallace,ballots,18
Chris Wallace,say,17
Chris Wallace,or,16
Chris Wallace,has,15
President Donald J. Trump,people,50
President Donald J. Trump,want,37
President Donald J. Trump,not,34
President Donald J. Trump,going,34
President Donald J. Trump,do,33
President Donald J. Trump,said,30
President Donald J. Trump,know,29
President Donald J. Trump,had,27
President Donald J. Trump,got,27
President Donald J. Trump,so,27
President Donald J. Trump,look,25
President Donald J. Trump,think,22
President Donald J. Trump,as,22
President Donald J. Trump,done,19
President Donald J. Trump,all,18
President Donald J. Trump,say,18
President Donald J. Trump,no,18
President Donald J. Trump,tell,17
President Donald J. Trump,million,16
President Donald J. Trump,never,16
Vice President Joe Biden,people,61
Vice President Joe Biden,not,59
Vice President Joe Biden,going,45
Vice President Joe Biden,has,24
Vice President Joe Biden,get,23
Vice President Joe Biden,do,23
Vice President Joe Biden,as,21
Vice President Joe Biden,so,20
Vice President Joe Biden,fact,19
Vice President Joe Biden,all,19
Vice President Joe Biden,number,18
Vice President Joe Biden,take,17
Vice President Joe Biden,can,16
Vice President Joe Biden,way,15
Vice President Joe Biden,make,15
Vice President Joe Biden,tax,15
Vice President Joe Biden,no,14
Vice President Joe Biden,look,14
Vice President Joe Biden,will,13
Vice President Joe Biden,got,13
